pointX,pointY,size,angle,response,octave,classId
229.664,44.3776,42,292.077,52716.5,1,-1
191.386,71.5408,32,85.5965,33819.9,1,-1
253.537,25.9082,34,152.251,30948.7,1,-1
233.244,49.3724,23,264.024,27974.7,0,-1
227.231,69.5133,21,93.9714,22624.4,0,-1
147.723,147.69,19,99.3511,21542.6,0,-1
208.242,69.3454,21,94.8164,20877.7,0,-1
174.024,160.922,19,350.883,17558.1,0,-1
236.313,26.6322,30,174.592,17150.7,1,1
42.2858,143.76,16,250.596,17094.1,0,1
110.791,68.1029,22,81.4705,16844.9,0,-1
61.1136,77.0929,76,88.9035,15956.7,2,-1
236.184,27.3613,28,173.299,15878,0,1
278.084,178.372,27,302.128,15818.1,0,1
203.82,48.3029,58,282.413,15017.8,1,1
69.6871,74.3751,52,95.701,15009.9,1,-1
194.636,158.64,66,280.689,14919.9,2,-1
278.45,178.765,29,298.73,14758.8,1,1
159.054,69.9312,28,89.0418,14689.2,0,-1
239.803,103.112,22,99.1591,14662.6,0,-1
252.417,76.0382,34,98.6698,14189.5,1,-1
204.014,48.806,58,285.371,14140.2,2,1
194.724,13.2472,19,52.4278,14055.7,0,-1
254.94,150.623,21,104.234,13840.7,0,-1
255.452,76.1533,23,107.326,13768.7,0,-1
161.152,72.276,42,87.407,13420.3,1,-1
282.164,75.9997,22,94.7573,13037.2,0,-1
243.43,132.796,15,93.1976,12770.8,0,-1
266.83,172.316,21,328.991,12686,0,-1
118.797,77.3888,65,92.7175,12532.4,2,-1
26.0475,71.9453,31,83.7071,12017.2,1,1
185.597,102.282,22,79.9487,12001,0,-1
268.598,172.593,20,251.959,11880.3,0,-1
44.112,70.9628,33,78.2688,11873.1,1,-1
224.497,105.898,45,97.2696,11821.7,1,-1
61.4419,135.777,29,196.88,11691.6,0,-1
147.693,160.663,15,116.145,11682.7,0,-1
60.8643,135.619,29,204.689,11629.3,1,-1
189.58,130.092,15,198.036,11606.7,0,1
172.59,183.562,57,98.1067,11443.5,1,1
156.957,25.4984,16,271.443,11412.1,0,-1
233.075,148.934,16,87.2318,11233.4,0,-1
18.8918,162.843,16,270.153,11204.6,0,1
209.69,44.7477,31,279.589,11071.8,1,1
255.04,168.992,15,264.759,11068.1,0,-1
217.221,125.02,16,348.524,10915.9,0,-1
253.663,184.313,43,82.4845,10908.3,1,1
154.007,155.036,20,116.598,10880.2,0,1
124.731,67.0783,17,97.7804,10502.1,0,-1
210.135,44.7801,28,282.751,10435.1,0,1
174.038,184.299,57,95.8193,10422.9,2,1
41.3883,68.0401,15,82.8159,10362.7,0,-1
195.394,125.524,13,212.346,10303.5,0,-1
211.874,45.3146,23,285.886,10007.4,0,1
109.904,21.614,28,278.141,9829.08,0,-1
166.309,197.95,16,108.706,9717.22,0,-1
211.787,112.623,25,229.598,9642.76,0,1
193.373,148.939,16,82.4064,9632.66,0,-1
158.163,17.8014,13,16.1871,9486.4,0,-1
252.923,50.5453,57,244.624,9468.34,1,1
254.801,52.7384,60,237.741,9272.2,2,1
256.326,190.057,24,81.9928,9166,0,1
296.161,173.949,22,279.29,8918.93,0,-1
201.983,112.66,17,235.777,8900.66,0,-1
266.844,151.236,15,86.5475,8899.2,0,-1
268.895,152.704,21,85.6164,8462.53,0,-1
169.883,23.5433,21,221.067,8396.26,0,-1
56.0253,149.835,41,77.9069,8385.24,1,1
37.5706,160.416,20,287.833,8106.29,0,-1
185.046,27.3445,16,276.527,7993.98,0,-1
73.6844,131.327,22,195.746,7951.53,0,1
248.369,152.498,41,104.466,7696.33,1,-1
234.438,106.735,57,103.148,7592.99,1,-1
242.228,154.547,57,100.305,7514.33,1,-1
225.222,123.084,19,206.966,7507.64,0,1
168.023,188.749,23,103.359,7491.81,0,1
170.737,68.8201,20,99.0652,7477.64,0,-1
165.241,131.08,85,1.47384,7448.28,2,1
28.6061,74.4176,16,83.8419,7372.87,0,1
235.705,122.055,32,214.554,7354.38,1,1
261.342,160.057,16,184.926,7341.38,0,1
262.764,162.463,25,320.696,7146.05,0,1
184.329,165.595,20,288.493,7136.87,0,-1
242.068,154.192,61,100.151,7103.74,2,-1
243.58,103.971,34,106.973,6974.04,1,-1
211.876,113.867,28,223.48,6916.87,1,1
143.364,162.348,32,111.931,6914.68,1,-1
104.683,23.6852,17,293.82,6874.52,0,-1
272.184,153.517,27,88.6429,6472.46,0,-1
243.977,46.3431,20,199.28,6418.67,0,1
306.1,183.214,14,91.7408,6380.12,0,1
142.803,165.995,54,160.416,6338.21,1,-1
206.95,127.982,55,89.9244,6330.83,1,1
73.3768,132.21,26,195.764,6320.38,1,1
159.768,155.87,31,149.219,6309.64,1,1
236.885,114.118,21,240.621,6274.15,0,1
269.009,133.709,63,98.047,6193.23,2,1
14.1632,141.918,22,260.501,6186.34,0,1
263.67,143.347,23,98.7907,6044.6,0,1
96.3232,55.1353,67,93.4589,6029.28,2,1
244.187,148.36,15,92.4712,5921.49,0,-1
91.4449,159.206,17,92.3292,5849.91,0,1
142.047,166.604,58,88.8671,5845.46,2,-1
207.688,119.644,41,231.023,5809.8,1,1
209.946,149.045,16,92.2147,5715.17,0,-1
207.109,125.545,55,87.909,5692.44,1,1
208.182,149.586,20,92.6513,5564.66,0,-1
178.598,88.5112,42,70.8236,5390.25,1,1
157.839,147.902,13,107.047,5335.75,0,-1
141.662,54.7706,64,277.233,5285.6,2,1
16.2588,145.843,29,331.638,5276.89,0,1
178.1,58.1682,44,88.9924,5218.3,1,1
265.066,142.487,26,99.308,5190.75,1,1
273.798,153.893,29,87.4193,5080.46,1,-1
196.575,119.323,14,210.746,5073.62,0,1
236.115,153.777,78,101.464,4974.78,2,-1
201.491,62.306,21,95.3563,4974.49,0,1
156.98,201.035,21,84.2732,4950.96,0,1
209.796,134.318,16,96.4358,4929.95,0,1
205.923,123.804,32,220.552,4904.93,1,1
206.811,134.569,51,89.927,4887.72,1,1
221.198,149.349,14,90.5455,4847.43,0,-1
194.667,136.595,16,270.467,4786.95,0,-1
206.372,129.092,56,87.5625,4729.18,2,1
215.76,163.513,14,249.147,4678.6,0,1
124.016,24.9662,15,274.626,4665.55,0,-1
258.494,176.292,16,357.046,4629.28,0,1
117.788,28.9293,16,265.375,4595.09,0,1
247.135,46.2942,29,204.796,4495.87,1,1
280.577,155.601,42,90.2378,4456.13,1,-1
158.017,167.483,23,168.711,4416.86,0,-1
212.242,130.663,16,344.798,4375.6,0,1
53.7411,68.3143,20,88.6934,4297.08,0,-1
236.431,62.8943,27,93.6774,4187.4,0,1
244.865,120.253,20,196.617,4174.86,0,-1
222.14,60.6285,26,286.803,4105.62,0,1
187.511,144.308,15,80.7005,4080.45,0,1
186.986,112.418,23,351.483,3939.48,0,-1
218.768,62.6334,26,92.9278,3857.91,0,1
74.992,102.782,54,225.281,3852.75,1,1
207.416,167.972,23,273.958,3819.94,0,-1
12.1505,74.3488,15,102.736,3776,0,1
225.288,141.091,28,88.1232,3762.45,0,1
74.6787,110.067,16,62.7665,3627.64,0,-1
226.528,141.072,28,88.3792,3625.12,0,1
178.473,56.8753,51,88.7449,3615.47,2,1
141.69,93.5971,33,177.83,3589.08,1,1
37.1426,170.251,22,282.026,3563.32,0,1
198.279,89.9548,106,106.771,3561.75,2,-1
252.581,134.005,16,104.641,3551.87,0,1
222.241,37.6377,13,2.96818,3536.77,0,-1
54.1826,203.387,15,70.5622,3517.92,0,1
13.7741,73.3829,21,102.116,3509.57,0,1
57.2142,166.139,16,68.9758,3502.91,0,-1
150.986,138.512,20,104.874,3459.07,0,1
131.587,76.6876,22,164.705,3447.11,0,-1
229.755,87.3933,51,98.8037,3437.04,1,1
217.751,28.0517,23,334.295,3394.27,0,-1
219.588,27.2357,28,172.512,3355.34,0,-1
176.93,168.612,14,295.756,3347.61,0,1
199.885,91.0209,26,89.8575,3231.14,0,1
219.255,27.1057,28,171.628,3142.68,1,-1
87.0974,67.542,20,104.54,3083.45,0,-1
219.059,130.904,27,350.193,3028.27,0,-1
212.618,191.891,16,87.3685,2994.73,0,1
218.722,75.825,19,187.481,2987.4,0,1
216.46,74.3333,15,189.031,2986.67,0,1
230.924,177.574,26,266.275,2973.27,0,1
140.254,95.6182,23,126.257,2954.76,0,1
178.937,123.319,16,358.187,2943.89,0,1
224.807,19.8525,27,175.829,2907.46,0,-1
225.199,141.296,30,87.9814,2885.39,1,1
239.217,159.986,14,280.84,2871.73,0,1
52.0905,160.108,13,70.3046,2795.35,0,1
237.003,135.7,22,91.158,2794.7,0,-1
178.07,84.1156,21,344.185,2774.79,0,1
118.329,61.9429,16,91.211,2763.85,0,1
218.006,79.0704,26,196.888,2729.47,0,1
222.298,115.17,16,220.62,2714.59,0,-1
197.452,101.209,16,90.162,2710.15,0,-1
246.603,166.701,31,256.899,2699.14,1,-1
65.2166,141.398,87,205.864,2689.56,2,1
211.883,95.1207,115,109.718,2659.88,2,-1
140.288,106.082,21,123.717,2647.24,0,-1
231.863,192.387,13,89.1849,2639.9,0,1
75.6397,142.742,59,88.7166,2630.01,1,1
143.103,67.0767,16,85.896,2628.8,0,-1
208.458,13.0952,16,140.18,2612.02,0,1
195.847,141.863,14,85.8875,2561.25,0,1
258.769,67.0173,16,105.597,2514.8,0,1
235.375,83.515,24,93.9889,2485.79,0,1
212.547,113.166,120,114.761,2457.79,3,-1
201.757,89.6773,28,89.9665,2426.92,1,1
235.414,64.0927,15,98.2407,2407.41,0,1
274.38,30.6193,15,281.29,2397.57,0,1
55.4071,146.84,21,261.356,2361.93,0,1
269.862,190.218,28,85.0115,2343.2,0,-1
205.229,186.346,43,86.4579,2306.87,1,1
303.037,179.341,22,272.523,2301.05,0,1
125.065,160.357,20,82.4374,2298.27,0,-1
246.982,96.3916,13,97.0554,2293.58,0,1
220.724,85.7449,43,96.2836,2258.26,1,1
46.5355,151.087,14,168.982,2257.41,0,-1
270.24,191.3,32,79.7558,2247.94,1,-1
230.479,177.715,27,266.179,2220.25,1,1
77.2611,163.683,15,101.03,2214.38,0,-1
169.341,174.024,26,175.302,2213.52,0,1
304.883,164.752,15,106.88,2192.48,0,-1
63.1615,207.213,20,75.191,2142.63,0,-1
238.712,150.493,30,92.3789,2128.12,0,-1
